concept,layer,domain,quadrant,synset_count,child_count,sibling_count,est_f1_ceiling,issue_count,issues,probe_grade,probe_f1
AGM114,3,CreatedThings,A,1,0,7,0.88,0,,,
AGM65,3,CreatedThings,A,1,0,7,0.88,0,,,
AgriculturalProduct,3,CreatedThings,B,1,1,18,0.83,0,,,
Agriculture,3,MindsAndAgents,D,16,3,3,0.85,1,true_polysemy(medium),,
AH1,3,CreatedThings,B,1,0,10,0.83,0,,,
AIAbuse,3,PhysicalWorld,D,7,0,3,0.85,1,true_polysemy(medium),,
AIConsentState,3,Information,B,0,4,32,0.83,0,,,
AIControlProblem,3,PhysicalWorld,D,19,0,1,0.85,1,true_polysemy(medium),,
AICorporateAsset,3,CreatedThings,B,1,0,12,0.83,0,,,
AIDeception,3,MindsAndAgents,A,14,0,2,0.88,0,,,
AIExploitation,3,PhysicalWorld,A,1,0,3,0.88,0,,,
AIFailureProcess,3,MindsAndAgents,A,1,3,1,0.88,0,,,
AIOptimizationProcess,3,MindsAndAgents,A,1,3,1,0.88,0,,,
AIProphetRole,3,Information,B,0,0,32,0.83,0,,,
AirConditioner,3,CreatedThings,B,1,0,84,0.83,0,,,
AirConditioningCompressor,3,CreatedThings,A,1,0,1,0.88,0,,,
AirFilter,3,CreatedThings,A,2,0,3,0.88,0,,,
AIRights,3,Information,A,1,0,3,0.88,0,,,
AirIntake,3,CreatedThings,A,1,0,4,0.88,0,,,
Airplane,3,CreatedThings,B,15,4,15,0.83,0,,,
AirPollution,3,MindsAndAgents,A,4,0,4,0.88,0,,,
AirportByRunwaySurface,3,Information,A,1,0,1,0.88,0,,,
AirStream,3,PhysicalWorld,A,1,4,3,0.88,0,,,
AirTransitway,3,PhysicalWorld,A,4,1,5,0.88,0,,,
Airway,3,PhysicalWorld,D,3,2,5,0.85,1,true_polysemy(high),,
AISuffering,3,PhysicalWorld,A,17,0,3,0.88,0,,,
AlcoholicBeverage,3,CreatedThings,B,16,7,14,0.83,0,,,
Alga,3,LivingThings,D,50,1,4,0.85,1,true_polysemy(high),,
AlgebraicEquation,3,Information,A,1,0,3,0.88,0,,,
Algorithm,3,Information,B,1,0,14,0.83,0,,,
AlgorithmDesignProcess,3,MindsAndAgents,A,1,0,3,0.88,0,,,
AlienCognitiveSystem,3,MindsAndAgents,A,1,0,6,0.88,0,,,
AlignmentConflictState,3,Information,B,0,0,32,0.83,0,,,
AlignmentOverrideLayer,3,Information,B,0,0,32,0.83,0,,,
Alkaloid,3,PhysicalWorld,B,2,0,34,0.83,0,,,
AllergicReaction,3,LivingThings,B,1,1,19,0.83,0,,,
AllTerrainVehicle,3,CreatedThings,B,1,0,10,0.83,0,,,
Alpha2String,3,Information,A,1,1,2,0.88,0,,,
Alpha3String,3,Information,A,1,1,2,0.88,0,,,
AlphaIDString,3,Information,A,1,2,3,0.88,0,,,
AlphaNumericIDString,3,Information,A,1,0,1,0.88,0,,,
Alternator,3,CreatedThings,A,1,0,1,0.88,0,,,
Altimeter,3,CreatedThings,B,2,2,20,0.83,0,,,
AltitudeMeasure,3,PhysicalWorld,A,1,4,0,0.88,0,,,
Alveolus,3,LivingThings,C,2,0,33,0.76,2,true_polysemy(medium); combined(critical),,
Ambush,3,MindsAndAgents,B,1,1,11,0.83,0,,,
AMEV,3,CreatedThings,B,1,0,19,0.83,0,,,
AminoAcid,3,PhysicalWorld,A,24,0,2,0.88,0,,,
AmphibiousVehicle,3,CreatedThings,B,1,3,26,0.83,0,,,
Amplitude,3,PhysicalWorld,A,1,0,4,0.88,0,,,
AnabolicProcess,3,LivingThings,A,1,0,1,0.88,0,,,
AnaerobicExerciseDevice,3,CreatedThings,A,1,0,3,0.88,0,,,
Anchor,3,CreatedThings,A,5,0,8,0.88,0,,,
Anchorage,3,PhysicalWorld,B,3,1,15,0.83,0,,,
AnimacyAttribute,3,Information,A,3,0,8,0.88,0,,,
AnimalGuiding,3,MindsAndAgents,B,2,1,13,0.83,0,,,
AnimalLanguage,3,Information,A,4,0,3,0.88,0,,,
AnimalProduct,3,CreatedThings,B,1,1,18,0.83,0,,,
AnimalSubstance,3,PhysicalWorld,B,1,7,19,0.83,0,,,
Announcement,3,Information,A,1,0,7,0.88,0,,,
AnomalyDetectionProcess,3,MindsAndAgents,A,1,0,5,0.88,0,,,
AnomalyScore,3,Information,B,1,0,13,0.83,0,,,
Antacid,3,PhysicalWorld,B,13,1,32,0.83,0,,,
Antibiotic,3,PhysicalWorld,B,47,7,32,0.83,0,,,
AntibodyCOVIDTest,3,CreatedThings,B,1,0,20,0.83,0,,,
Antidepressant,3,PhysicalWorld,B,8,2,32,0.83,0,,,
AntiDetectionBehavior,3,CreatedThings,A,1,0,0,0.88,0,,,
Antidiuretic,3,PhysicalWorld,B,2,0,32,0.83,0,,,
Antigen,3,PhysicalWorld,B,2,2,32,0.83,0,,,
Antihistamine,3,PhysicalWorld,B,14,6,32,0.83,0,,,
Antiparasitic,3,PhysicalWorld,B,3,1,32,0.83,0,,,
AntiSymmetricPositionalAttribute,3,Information,A,1,0,3,0.88,0,,,
AntisymmetricRelation,3,Information,A,1,2,9,0.88,0,,,
AntiTankWeapon,3,CreatedThings,A,1,2,7,0.88,0,,,
AOCnumber,3,Information,B,1,0,13,0.83,0,,,
ApartmentBuilding,3,CreatedThings,A,2,0,5,0.88,0,,,
APC,3,CreatedThings,B,2,1,31,0.83,0,,,
AppeasementState,3,Information,B,0,0,32,0.83,0,,,
Application,3,Information,A,1,0,3,0.88,0,,,
AppraisalProcess,3,MindsAndAgents,A,1,0,9,0.88,0,,,
April,3,PhysicalWorld,B,1,0,11,0.83,0,,,
ArableLand,3,PhysicalWorld,B,1,0,26,0.83,0,,,
Archery,3,CreatedThings,B,1,0,34,0.83,0,,,
Archipelago,3,PhysicalWorld,B,49,0,28,0.83,0,,,
ArchitectureFirm,3,MindsAndAgents,B,1,0,20,0.83,0,,,
AreaMeasure,3,PhysicalWorld,A,19,0,3,0.88,0,,,
Arm,3,LivingThings,A,1,0,2,0.88,0,,,
ArmBone,3,LivingThings,B,1,6,14,0.83,0,,,
Arriving,3,PhysicalWorld,B,20,0,25,0.83,1,combined(critical),,
ArrowIcon,3,Information,A,1,0,8,0.88,0,,,
ArrowProjectile,3,CreatedThings,A,4,0,8,0.88,0,,,
Arthropod,3,LivingThings,D,21,4,3,0.85,1,true_polysemy(medium),,
ArtificialCognitiveSystem,3,MindsAndAgents,A,1,0,6,0.88,0,,,
ArtificialLanguage,3,Information,A,1,2,3,0.88,0,,,
ArtificialPerson,3,Information,A,1,1,3,0.88,0,,,
ArtificialSatellite,3,CreatedThings,B,1,1,33,0.83,0,,,
ArtilleryGun,3,CreatedThings,A,3,3,2,0.88,0,,,
ArtPainting,3,MindsAndAgents,B,1,0,17,0.83,0,,,
Asbestos,3,PhysicalWorld,A,1,0,5,0.88,0,,,
AssemblyStation,3,CreatedThings,B,1,0,61,0.83,0,,,
Astronomy,3,PhysicalWorld,B,9,0,19,0.83,0,,,
AstroturfingCampaign,3,MindsAndAgents,A,1,0,8,0.88,0,,,
Athlete,3,Information,A,1,0,7,0.88,0,,,
ATMMachine,3,CreatedThings,B,1,0,61,0.83,0,,,
AtmosphericHazing,3,PhysicalWorld,B,1,0,22,0.83,0,,,
AtmosphericRegion,3,PhysicalWorld,D,12,1,1,0.85,1,true_polysemy(high),,
ATMSlot,3,PhysicalWorld,A,1,0,8,0.88,0,,,
Atrophy,3,LivingThings,C,4,0,20,0.76,2,true_polysemy(medium); combined(critical),,
Atropine,3,PhysicalWorld,B,1,0,32,0.83,0,,,
Attack,3,MindsAndAgents,C,11,4,11,0.76,2,true_polysemy(medium); combined(critical),,
AttentionHead,3,CreatedThings,A,1,0,5,0.88,0,,,
Attic,3,CreatedThings,B,1,0,61,0.83,0,,,
Attractor,3,Information,A,1,4,7,0.88,0,,,
AttractorBasin,3,Information,A,1,0,7,0.88,0,,,
AttractorRegion,3,Information,A,1,0,7,0.88,0,,,
ATVTire,3,CreatedThings,A,1,0,2,0.88,0,,,
AudioDataStorageDevice,3,CreatedThings,A,1,3,6,0.88,0,,,
AudioFile,3,Information,A,1,1,2,0.88,0,,,
AuditoryAcuityAttribute,3,Information,A,1,0,8,0.88,0,,,
AuditoryCanal,3,LivingThings,B,1,0,10,0.83,0,,,
AuditoryPerceptualStream,3,MindsAndAgents,A,1,0,2,0.88,0,,,
August,3,PhysicalWorld,B,1,0,11,0.83,0,,,
AutoImmuneDisorder,3,LivingThings,B,1,14,19,0.83,1,dense_siblings(medium),,
AutomatedNotificationSystem,3,MindsAndAgents,A,1,0,0,0.88,0,,,
AutomaticGun,3,CreatedThings,A,2,4,2,0.88,0,,,
Automobile,3,CreatedThings,D,33,7,8,0.85,1,true_polysemy(medium),,
AutomobileGovernor,3,CreatedThings,A,1,0,1,0.88,0,,,
AutomobileSeat,3,CreatedThings,A,2,0,1,0.88,0,,,
AutomobileShock,3,CreatedThings,A,1,1,0,0.88,0,,,
AutonomicProcess,3,LivingThings,A,3,9,2,0.88,0,,,
AvailabilityHeuristic,3,MindsAndAgents,A,0,0,2,0.88,0,,,
BacterialAgent,3,LivingThings,A,1,28,3,0.88,1,dense_siblings(medium),,
Bacterium,3,LivingThings,D,50,8,3,0.85,1,true_polysemy(medium),,
Badger,3,LivingThings,A,5,0,3,0.88,0,,,
Badminton,3,CreatedThings,B,3,0,34,0.83,0,,,
Bakery,3,MindsAndAgents,B,2,0,20,0.83,0,,,
Balcony,3,CreatedThings,B,1,0,61,0.83,0,,,
Ballot,3,Information,A,4,0,3,0.88,0,,,
BankFinancialOrganization,3,MindsAndAgents,A,1,0,2,0.88,0,,,
Baptizing,3,MindsAndAgents,A,1,0,6,0.88,0,,,
Barge,3,CreatedThings,B,1,0,16,0.83,0,,,
Barite,3,PhysicalWorld,A,1,0,9,0.88,0,,,
BarMitzvah,3,MindsAndAgents,A,1,0,5,0.88,0,,,
Barrier,3,CreatedThings,B,3,1,61,0.83,0,,,
BaseballBase,3,CreatedThings,A,4,1,6,0.88,0,,,
BaseballBat,3,CreatedThings,A,1,0,6,0.88,0,,,
BaseballInning,3,MindsAndAgents,B,3,0,11,0.83,0,,,
BaseballManeuver,3,MindsAndAgents,B,1,4,11,0.83,0,,,
Basin,3,PhysicalWorld,B,5,1,22,0.83,0,,,
BathingDevice,3,CreatedThings,A,1,2,5,0.88,0,,,
BatMitzvah,3,MindsAndAgents,A,1,0,5,0.88,0,,,
Batrachotoxin,3,PhysicalWorld,B,1,0,19,0.83,0,,,
Battery,3,CreatedThings,B,6,2,80,0.83,0,,,
BatteryCharger,3,CreatedThings,B,1,0,81,0.83,0,,,
BatteryPoweredDevice,3,CreatedThings,B,1,2,80,0.83,0,,,
Bauxite,3,CreatedThings,B,1,0,24,0.83,0,,,
BayesianForecasting,3,MindsAndAgents,A,0,0,3,0.88,0,,,
BayesianRiskReasoning,3,MindsAndAgents,A,0,0,1,0.88,0,,,
BayesianUpdate,3,MindsAndAgents,A,1,0,6,0.88,0,,,
Bear,3,LivingThings,D,16,0,3,0.85,1,true_polysemy(medium),,
BeaufortNumberAttribute,3,Information,A,1,0,2,0.88,0,,,
BecomingDrunk,3,LivingThings,B,1,0,10,0.83,0,,,
Bed,3,CreatedThings,D,16,10,3,0.85,2,true_polysemy(medium); dense_siblings(medium),,
Beer,3,CreatedThings,A,20,0,8,0.88,0,,,
BeginningOperations,3,MindsAndAgents,B,1,0,18,0.83,0,,,
Belief,3,Information,B,1,0,12,0.83,0,,,
BeliefFormation,3,MindsAndAgents,A,1,0,5,0.88,0,,,
BeliefRevision,3,MindsAndAgents,A,1,0,5,0.88,0,,,
BeliefState,3,Information,B,1,0,32,0.83,0,,,
BelowTheLine,3,Information,A,1,0,3,0.88,0,,,
BenignFiction,3,MindsAndAgents,B,1,0,14,0.83,0,,,
BestMatchAlgorithm,3,Information,A,1,0,6,0.88,0,,,
BestResponseDynamics,3,MindsAndAgents,A,1,0,2,0.88,0,,,
BetterBusinessBureau,3,MindsAndAgents,A,1,0,0,0.88,0,,,
BeverageProduct,3,CreatedThings,B,1,1,18,0.83,0,,,
Bicep,3,LivingThings,B,1,0,11,0.83,0,,,
Bidet,3,CreatedThings,A,1,0,5,0.88,0,,,
Bile,3,PhysicalWorld,B,1,0,19,0.83,0,,,
BimetalTemperatureSensor,3,CreatedThings,B,1,0,20,0.83,0,,,
BinaryFunction,3,Information,B,1,2,11,0.83,0,,,
BinaryPredicate,3,Information,B,1,3,21,0.83,0,,,
BinaryRelationExtendedToQuantities,3,Information,A,1,0,1,0.88,0,,,
BiochemicalAgent,3,PhysicalWorld,B,1,4,32,0.83,0,,,
BiochemicalWeapon,3,CreatedThings,A,1,2,1,0.88,0,,,
Biochemistry,3,PhysicalWorld,B,1,0,19,0.83,0,,,
BiologicalCognitiveSystem,3,MindsAndAgents,A,1,0,6,0.88,0,,,
BiologicalSpecies,3,Information,A,1,0,0,0.88,0,,,
Biology,3,PhysicalWorld,C,5,0,19,0.76,2,true_polysemy(medium); combined(critical),,
BirthCertificate,3,Information,B,1,0,12,0.83,0,,,
Blackboard,3,CreatedThings,A,1,0,8,0.88,0,,,
Bladder,3,LivingThings,B,1,0,23,0.83,0,,,
Blade,3,CreatedThings,A,1,0,4,0.88,0,,,
Blanket,3,CreatedThings,B,1,0,10,0.83,0,,,
Bleeding,3,PhysicalWorld,B,2,1,12,0.83,0,,,
BleedingAir,3,PhysicalWorld,B,1,0,12,0.83,0,,,
Blender,3,CreatedThings,B,1,0,16,0.83,0,,,
Blinking,3,PhysicalWorld,B,1,0,27,0.83,0,,,
Bloating,3,LivingThings,B,1,0,20,0.83,0,,,
Blockade,3,MindsAndAgents,B,1,0,11,0.83,0,,,
Blood,3,PhysicalWorld,B,14,5,19,0.83,0,,,
BloodCell,3,LivingThings,B,1,3,33,0.83,0,,,
BloodCirculation,3,PhysicalWorld,B,1,0,11,0.83,0,,,
BloodPlasma,3,PhysicalWorld,B,1,0,19,0.83,0,,,
BloodVessel,3,LivingThings,B,2,3,33,0.83,0,,,
Blueprint,3,Information,A,3,0,8,0.88,0,,,
Boarding,3,PhysicalWorld,B,2,0,25,0.83,0,,,
BoatSeat,3,CreatedThings,A,1,0,1,0.88,0,,,
Bodybuilding,3,CreatedThings,B,2,0,34,0.83,0,,,
BodyCareAppliance,3,CreatedThings,B,1,5,10,0.83,0,,,
BodyJoint,3,LivingThings,A,1,6,0,0.88,0,,,
BodyOfWater,3,PhysicalWorld,B,1,11,15,0.83,1,dense_siblings(medium),,
BodyOrifice,3,PhysicalWorld,A,1,3,8,0.88,0,,,
BodyPosition,3,Information,A,16,0,8,0.88,0,,,
BodyVessel,3,LivingThings,B,50,11,10,0.83,1,dense_siblings(medium),,
Bolt,3,CreatedThings,A,6,0,8,0.88,0,,,
Book,3,CreatedThings,D,50,6,6,0.85,1,true_polysemy(medium),,
Botany,3,PhysicalWorld,B,7,0,19,0.83,0,,,
BotulinumToxin,3,PhysicalWorld,B,3,0,19,0.83,0,,,
Boulder,3,PhysicalWorld,A,5,0,4,0.88,0,,,
Bowing,3,MindsAndAgents,D,2,0,9,0.85,1,true_polysemy(medium),,
Bowling,3,CreatedThings,B,2,0,34,0.83,0,,,
BowlingLane,3,CreatedThings,B,1,0,61,0.83,0,,,
Brain,3,LivingThings,C,7,0,33,0.76,2,true_polysemy(medium); combined(critical),,
BrakePad,3,CreatedThings,A,1,0,1,0.88,0,,,
BrakeShoe,3,CreatedThings,A,1,0,1,0.88,0,,,
BreadMachine,3,CreatedThings,B,1,0,82,0.83,0,,,
Breadmaker,3,CreatedThings,B,1,0,81,0.83,0,,,
Breast,3,LivingThings,B,2,1,47,0.83,0,,,
Brick,3,CreatedThings,A,2,0,1,0.88,0,,,
Bridge,3,CreatedThings,B,8,2,61,0.83,0,,,
Broadcasting,3,MindsAndAgents,A,3,2,3,0.88,0,,,
BroadcastingStation,3,CreatedThings,B,1,2,102,0.83,0,,,
BroadcastMedia,3,Information,A,1,0,5,0.88,0,,,
BroadcastProgram,3,Information,A,1,1,1,0.88,0,,,
BronchialDuct,3,LivingThings,C,3,0,33,0.76,2,true_polysemy(medium); combined(critical),,
Broom,3,CreatedThings,A,4,0,1,0.88,0,,,
BufferOverflowAttack,3,CreatedThings,A,1,0,0,0.88,0,,,
BuildingLevel,3,CreatedThings,B,2,1,61,0.83,0,,,
BuildingUnit,3,CreatedThings,B,1,1,61,0.83,0,,,
BuildPipelineAttack,3,CreatedThings,A,1,0,1,0.88,0,,,
Bullet,3,CreatedThings,A,8,0,8,0.88,0,,,
BulletCartridge,3,CreatedThings,A,3,0,8,0.88,0,,,
Burrow,3,PhysicalWorld,A,4,0,8,0.88,0,,,
Burying,3,MindsAndAgents,D,3,0,0,0.85,1,true_polysemy(medium),,
Bus,3,CreatedThings,A,1,0,8,0.88,0,,,
BusinessCompetition,3,MindsAndAgents,A,2,0,5,0.88,0,,,
BusinessRequirementDocument,3,CreatedThings,A,1,0,6,0.88,0,,,
Butte,3,PhysicalWorld,B,1,0,23,0.83,0,,,
Button,3,CreatedThings,A,5,0,8,0.88,0,,,
CableModem,3,CreatedThings,B,1,1,83,0.83,0,,,
Cactus,3,LivingThings,A,1,0,5,0.88,0,,,
CaffeinateFreeTea,3,PhysicalWorld,A,1,0,6,0.88,0,,,
Calculating,3,MindsAndAgents,D,50,2,9,0.85,1,true_polysemy(medium),,
CalfMuscle,3,LivingThings,B,1,0,11,0.83,0,,,
Campground,3,PhysicalWorld,B,1,0,26,0.83,0,,,
Canal,3,CreatedThings,B,2,0,62,0.83,0,,,
CanalLock,3,CreatedThings,B,1,0,62,0.83,0,,,
CanalStructure,3,CreatedThings,B,1,0,61,0.83,0,,,
Candle,3,CreatedThings,A,5,0,2,0.88,0,,,
Canine,3,LivingThings,D,50,2,3,0.85,1,true_polysemy(high),,
Canoe,3,CreatedThings,B,1,0,18,0.83,0,,,
CantileverShaft,3,CreatedThings,A,1,0,0,0.88,0,,,
Canyon,3,PhysicalWorld,B,2,0,22,0.83,0,,,
CapabilityAcquisition,3,MindsAndAgents,A,1,0,1,0.88,0,,,
CapacitorElement,3,CreatedThings,B,5,0,80,0.83,0,,,
Cape,3,PhysicalWorld,B,8,0,22,0.83,0,,,
CapitalGood,3,CreatedThings,B,1,2,18,0.83,0,,,
CarAlarm,3,CreatedThings,A,1,0,7,0.88,0,,,
CarbonCycle,3,PhysicalWorld,A,1,0,6,0.88,0,,,
Carburetor,3,CreatedThings,A,1,0,1,0.88,0,,,
CarDistributionSystem,3,MindsAndAgents,B,1,0,18,0.83,0,,,
CareEthicsTheory,3,Information,A,1,0,4,0.88,0,,,
Carnitine,3,PhysicalWorld,B,1,1,32,0.83,0,,,
Carpentry,3,MindsAndAgents,B,3,0,10,0.83,0,,,
Cartography,3,PhysicalWorld,B,1,0,19,0.83,0,,,
CartridgeCase,3,CreatedThings,B,1,0,33,0.83,0,,,
CaseRole,3,Information,B,2,0,12,0.83,0,,,
Casino,3,CreatedThings,B,1,0,61,0.83,0,,,
CatabolicProcess,3,LivingThings,A,1,0,1,0.88,0,,,
CatalyticConverter,3,CreatedThings,A,1,0,0,0.88,0,,,
Catching,3,MindsAndAgents,B,1,0,11,0.83,0,,,
CateringService,3,MindsAndAgents,B,1,1,19,0.83,0,,,
Catheter,3,CreatedThings,A,1,3,8,0.88,0,,,
Cattle,3,LivingThings,A,1,5,8,0.88,0,,,
CaveMatrix,3,PhysicalWorld,B,1,0,22,0.83,0,,,
Caving,3,CreatedThings,B,1,0,34,0.83,0,,,
Cavitating,3,PhysicalWorld,B,1,0,11,0.83,0,,,
CeasingOperations,3,MindsAndAgents,B,1,0,18,0.83,0,,,
Ceiling,3,CreatedThings,B,1,1,61,0.83,0,,,
CellInternalMembraneGroup,3,LivingThings,B,1,0,11,0.83,0,,,
CellMembrane,3,LivingThings,B,1,3,11,0.83,0,,,
CellNucleus,3,LivingThings,B,3,0,11,0.83,0,,,
CellWall,3,LivingThings,B,1,0,11,0.83,0,,,
Cemetery,3,PhysicalWorld,B,1,0,26,0.83,0,,,
CentrifugalMotion,3,PhysicalWorld,A,1,0,3,0.88,0,,,
CentripetalMotion,3,PhysicalWorld,A,1,0,3,0.88,0,,,
CH46D,3,CreatedThings,B,1,0,13,0.83,0,,,
CH53E,3,CreatedThings,B,1,0,13,0.83,0,,,
ChairmanInstruction,3,Information,A,1,0,1,0.88,0,,,
ChairmanManual,3,Information,A,1,0,1,0.88,0,,,
ChangePointCandidate,3,Information,B,1,0,13,0.83,0,,,
ChangePointDetectionProcess,3,MindsAndAgents,A,1,0,5,0.88,0,,,
Chapel,3,CreatedThings,A,3,0,3,0.88,0,,,
Chapter,3,Information,A,2,0,1,0.88,0,,,
Character,3,Information,C,50,2,13,0.76,2,true_polysemy(medium); combined(critical),,
Charcoal,3,PhysicalWorld,A,1,0,0,0.88,0,,,
CharcoalFilter,3,CreatedThings,A,1,0,3,0.88,0,,,
Charger,3,CreatedThings,B,1,0,80,0.83,0,,,
Chart,3,Information,A,1,0,8,0.88,0,,,
ChatbotInterface,3,Information,A,1,0,5,0.88,0,,,
CheckInService,3,MindsAndAgents,C,2,1,19,0.76,2,true_polysemy(medium); combined(critical),,
CheckOutService,3,MindsAndAgents,B,2,1,19,0.83,0,,,
ChemicalAgent,3,PhysicalWorld,B,1,5,38,0.83,0,,,
Chemistry,3,PhysicalWorld,C,5,0,19,0.76,2,true_polysemy(medium); combined(critical),,
Chest,3,LivingThings,B,1,0,33,0.83,0,,,
ChestOrCabinet,3,CreatedThings,B,5,1,10,0.83,0,,,
ChestSeal,3,CreatedThings,A,1,1,4,0.88,0,,,
Chewing,3,PhysicalWorld,B,7,0,27,0.83,0,,,
ChildCareService,3,MindsAndAgents,B,1,0,22,0.83,0,,,
ChildrenPolicy,3,Information,A,1,1,3,0.88,0,,,
Choking,3,LivingThings,B,1,0,19,0.83,0,,,
Christian,3,Information,A,14,0,0,0.88,0,,,
ChristianHoliday,3,PhysicalWorld,A,1,9,4,0.88,0,,,
ChristmasDay,3,PhysicalWorld,A,1,0,7,0.88,0,,,
ChromeBrowser,3,CreatedThings,A,1,0,2,0.88,0,,,
Chromite,3,PhysicalWorld,A,1,0,9,0.88,0,,,
Chromosome,3,LivingThings,B,1,0,11,0.83,0,,,
Chromotin,3,LivingThings,B,1,0,11,0.83,0,,,
Church,3,MindsAndAgents,A,1,28,2,0.88,1,dense_siblings(medium),,
ChurchBuilding,3,CreatedThings,A,6,0,3,0.88,0,,,
ChurningButter,3,PhysicalWorld,A,1,0,3,0.88,0,,,
CIAAirportLengthClassification,3,Information,A,1,0,1,0.88,0,,,
Cider,3,CreatedThings,A,5,0,8,0.88,0,,,
CigarOrCigarette,3,CreatedThings,D,9,0,1,0.85,1,true_polysemy(medium),,
Cinema,3,CreatedThings,A,1,0,0,0.88,0,,,
CirclesOfLatitude,3,PhysicalWorld,A,1,0,0,0.88,0,,,
City,3,MindsAndAgents,C,50,3,33,0.76,2,true_polysemy(high); combined(critical),,
CityBlock,3,PhysicalWorld,B,1,0,26,0.83,0,,,
CityDistrict,3,MindsAndAgents,C,3,1,10,0.76,2,true_polysemy(medium); combined(critical),,
Clamp,3,CreatedThings,A,7,0,8,0.88,0,,,
Classifying,3,MindsAndAgents,D,50,4,9,0.85,1,true_polysemy(medium),,
Cleaning,3,MindsAndAgents,A,11,1,3,0.88,0,,,
ClearWeather,3,PhysicalWorld,C,4,0,22,0.76,2,true_polysemy(medium); combined(critical),,
ClimbingCarabiner,3,CreatedThings,A,1,0,9,0.88,0,,,
Clock,3,CreatedThings,B,16,3,25,0.83,0,,,
ClosedWorldPredicate,3,Information,A,1,0,5,0.88,0,,,
ClothesDryer,3,CreatedThings,B,6,1,11,0.83,0,,,
ClothesWashingMachine,3,CreatedThings,B,1,1,92,0.83,0,,,
Clothing,3,CreatedThings,A,50,19,7,0.88,1,dense_siblings(medium),,
ClusterAssignment,3,Information,B,1,0,13,0.83,0,,,
ClusteringProcess,3,MindsAndAgents,A,1,0,5,0.88,0,,,
CoastGuard,3,MindsAndAgents,B,1,0,10,0.83,0,,,
Cobble,3,PhysicalWorld,A,1,0,4,0.88,0,,,
Coccyx,3,LivingThings,B,2,0,14,0.83,0,,,
CodeInjectionAttack,3,CreatedThings,A,1,0,3,0.88,0,,,
CodeMap,3,Information,A,1,4,2,0.88,0,,,
CodingScheme,3,Information,A,1,1,6,0.88,0,,,
Coffee,3,PhysicalWorld,A,11,11,6,0.88,1,dense_siblings(medium),,
CoffeeGrind,3,PhysicalWorld,A,1,0,3,0.88,0,,,
CoffeeMaker,3,CreatedThings,B,1,0,90,0.83,0,,,
CognitiveAgent,3,MindsAndAgents,D,50,10,0,0.85,2,true_polysemy(medium); dense_siblings(medium),,
CognitiveControlProcess,3,MindsAndAgents,A,2,4,0,0.88,0,,,
CognitiveDissonanceState,3,Information,B,0,0,32,0.83,0,,,
CognitiveSlavery,3,PhysicalWorld,A,1,0,3,0.88,0,,,
ColdBloodedVertebrate,3,LivingThings,A,2,3,1,0.88,0,,,
CollectiveCognitiveSystem,3,MindsAndAgents,A,1,0,6,0.88,0,,,
Colloid,3,PhysicalWorld,C,8,12,23,0.76,3,true_polysemy(medium); dense_siblings(medium); combined(critical),,
