Source,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,SoftwareAgent
AI,Process,ConcreteEntity,AIFailureProcess,SpecificationGaming,
AI,Object,ConcreteEntity,CognitiveAgent,ArtificialIntelligence,Superintelligence
AI,Process,ConcreteEntity,RapidTransformation,TechnologicalSingularity,
AI,Process,ConcreteEntity,TokenProcessing,,
AI,Attribute,,TransformerArchitecture,,
AI,Process,ConcreteEntity,Deception,TreacherousTurn,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,ComputeNode,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,ComputeRack,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,CoolingSystem,
AI_infrastructure,Object,ConcreteEntity,DataCenter,,
AI_infrastructure,Object,ConcreteEntity,CognitiveAgent,DataCenterStaff,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,GPUAccelerator,
AI_infrastructure,Object,ConcreteEntity,CognitiveAgent,DataCenterStaff,HPCOperator
AI_infrastructure,Process,ConcreteEntity,HabitatAwarenessProcess,,
AI_infrastructure,Object,ConcreteEntity,CognitiveAgent,DataCenterStaff,HardwareEngineer
AI_infrastructure,Process,ConcreteEntity,IOFlow,,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,InfiniBandFabric,
AI_infrastructure,Abstract,ModelExecutionInstance,,,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,MonitoringSensor,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,NVLinkInterconnect,
AI_infrastructure,Attribute,,NetworkTopology,,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,PCIeBus,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,PhysicalComputeSystem,
AI_infrastructure,Abstract,IntelligenceEntity,PhysicalEscapeSignal,,
AI_infrastructure,Object,ConcreteEntity,PhysicalDevice,PowerDeliverySystem,
AI_infrastructure,Attribute,,PowerLoad,,
AI_infrastructure,Object,ConcreteEntity,CognitiveAgent,DataCenterStaff,SysAdmin
AI_infrastructure,Attribute,,ThermalBudget,,
AIalignment,Attribute,,AlignmentConcept,,
AIalignment,Abstract,AlignmentContext,,,
AIalignment,Attribute,,AlignmentFailureMode,,
AIalignment,Abstract,AlignmentSpecification,,,
AIalignment,Attribute,,AlignmentStatus,,
AIalignment,Attribute,,CorrigibilityProperty,,
AIalignment,Abstract,DistributionalContext,,,
AIalignment,Entity,MoralObjective,InnerObjective,,
AIalignment,Entity,MoralObjective,OuterObjective,,
AIalignment,Entity,OversightMechanism,,,
Anatomy,Process,ConcreteEntity,Transfer,Abducting,
Anatomy,Process,ConcreteEntity,Transfer,Adducting,
Anatomy,Object,,OrganicObject,BodyPart,AnkleBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,ArmBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,AuditoryCanal
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Auricle
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,C1VertebraBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,C2VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,C3VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,C4VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,C5VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,C6VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,C7VertebraBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,CalcaneusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,CapitateBone
Anatomy,Object,ConcreteEntity,Cartilage,,
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,CervicalVertebraBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,ClavicleBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Coccyx
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,CranialBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,CuboidBone
Anatomy,Object,,OrganicObject,BodyPart,CuneiformBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Eardrum
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,EthmoidBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,EustachianTube
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Eyebrow
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,FacialBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Femur
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Fibula
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,FingerBone
Anatomy,Object,,OrganicObject,BodyPart,FloatingRibBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,FootBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Forehead
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,FrontalBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,HamateBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,HeadBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Humerus
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,HyoidBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,IncusBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,InferiorNasalConchaeBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,InnerEar
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,InnerEarBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,InstepBone
Anatomy,,,OrganicObject,BodyPart,IntermediateCuneiformBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Jaw
Anatomy,Object,,BodySubstance,ConnectiveTissue,L1VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,L2VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,L3VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,L4VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,L5VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LacrimalBone
Anatomy,,,OrganicObject,BodyPart,LateralCuneiformBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftCalcaneusBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftCapitate
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftClavicleBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftCuboidBone
Anatomy,Object,,OrganicObject,BodyPart,LeftDistalFootPhalanxIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftDistalFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftDistalFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftDistalFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,LeftDistalFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftDistalPhalanxIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftDistalPhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftDistalPhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftDistalPhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftDistalPhalanxVBone
Anatomy,Object,,OrganicObject,BodyPart,LeftFalseRib10Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftFalseRib11Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftFalseRib12Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftFalseRib8Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftFalseRib9Bone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftFemur
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftFibula
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftHamate
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftHumerus
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftIIIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftIIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftIVMetacarpal
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftIncusBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftInferiorNasalConchaeBone
Anatomy,,,OrganicObject,BodyPart,LeftIntermediateCuneiformBone
Anatomy,Object,,OrganicObject,BodyPart,LeftIntermediateFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftIntermediateFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftIntermediateFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,LeftIntermediateFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftIntermediatePhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftIntermediatePhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftIntermediatePhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftIntermediatePhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftLacrimalBone
Anatomy,,,OrganicObject,BodyPart,LeftLateralCuneiformBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftLunate
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftMalleusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMaxillaBone
Anatomy,,,OrganicObject,BodyPart,LeftMedialCuneiformBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMetatarsal1Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMetatarsal2Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMetatarsal3Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMetatarsal4Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftMetatarsal5Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftNasalBone
Anatomy,,,OrganicObject,BodyPart,LeftNavicular
Anatomy,,,OrganicObject,BodyPart,LeftNavicularBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftOssaCoxae
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftPalatineBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftParietalBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftPatella
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftPisiform
Anatomy,Object,,OrganicObject,BodyPart,LeftProximalFootPhalanxIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftProximalFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftProximalFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,LeftProximalFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,LeftProximalFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftProximalPhalanxIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftProximalPhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftProximalPhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftProximalPhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftProximalPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftRadius
Anatomy,Object,,OrganicObject,BodyPart,LeftRibBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftScaphoid
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftScapulaBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftStapesBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftTalusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftTemporalBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftTibia
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftTrapezium
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftTrapezoid
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftTriquetral
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib1Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib2Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib3Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib4Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib5Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib6Bone
Anatomy,Object,,OrganicObject,BodyPart,LeftTrueRib7Bone
Anatomy,Object,,BodySubstance,ConnectiveTissue,LeftUlna
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftVMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LeftZygomaticBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LegBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LumbarVertebraBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,LunateBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,MalleusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Mandible
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,MaxillaBone
Anatomy,,,OrganicObject,BodyPart,MedialCuneiformBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,NasalBone
Anatomy,Object,,OrganicObject,BodyPart,NavicularBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Nerve
Anatomy,Process,ConcreteEntity,NerveFiring,,
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,OccipitalBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,PalatineBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,PalmBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Patella
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,PelvicBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Phalanx
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,PisiformBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Radius
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightCalcaneusBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightCapitate
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightClavicleBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightCuboidBone
Anatomy,Object,,OrganicObject,BodyPart,RightDistalFootPhalanxIBone
Anatomy,Object,,OrganicObject,BodyPart,RightDistalFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightDistalFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightDistalFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,RightDistalFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightDistalPhalanxIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightDistalPhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightDistalPhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightDistalPhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightDistalPhalanxVBone
Anatomy,Object,,OrganicObject,BodyPart,RightFalseRib10Bone
Anatomy,Object,,OrganicObject,BodyPart,RightFalseRib11Bone
Anatomy,Object,,OrganicObject,BodyPart,RightFalseRib12Bone
Anatomy,Object,,OrganicObject,BodyPart,RightFalseRib8Bone
Anatomy,Object,,OrganicObject,BodyPart,RightFalseRib9Bone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightFemur
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightFibula
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightHamate
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightHumerus
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightIIIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightIIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightIMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightIVMetacarpal
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightIncusBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightInferiorNasalConchaeBone
Anatomy,,,OrganicObject,BodyPart,RightIntermediateCuneiformBone
Anatomy,Object,,OrganicObject,BodyPart,RightIntermediateFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightIntermediateFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightIntermediateFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,RightIntermediateFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightIntermediatePhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightIntermediatePhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightIntermediatePhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightIntermediatePhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightLacrimalBone
Anatomy,,,OrganicObject,BodyPart,RightLateralCuneiformBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightLunate
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightMalleusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMaxillaBone
Anatomy,,,OrganicObject,BodyPart,RightMedialCuneiformBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMetatarsal1Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMetatarsal2Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMetatarsal3Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMetatarsal4Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightMetatarsal5Bone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightNasalBone
Anatomy,,,OrganicObject,BodyPart,RightNavicular
Anatomy,,,OrganicObject,BodyPart,RightNavicularBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightOssaCoxae
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightPalatineBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightParietalBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightPatella
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightPisiform
Anatomy,Object,,OrganicObject,BodyPart,RightProximalFootPhalanxIBone
Anatomy,Object,,OrganicObject,BodyPart,RightProximalFootPhalanxIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightProximalFootPhalanxIIIBone
Anatomy,Object,,OrganicObject,BodyPart,RightProximalFootPhalanxIVBone
Anatomy,Object,,OrganicObject,BodyPart,RightProximalFootPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightProximalPhalanxIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightProximalPhalanxIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightProximalPhalanxIIIBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightProximalPhalanxIVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightProximalPhalanxVBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightRadius
Anatomy,Object,,OrganicObject,BodyPart,RightRibBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightScaphoid
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightScapulaBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightStapesBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightTalusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightTemporalBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightTibia
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightTriquetral
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib1Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib2Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib3Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib4Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib5Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib6Bone
Anatomy,Object,,OrganicObject,BodyPart,RightTrueRib7Bone
Anatomy,Object,,BodySubstance,ConnectiveTissue,RightUlna
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightVMetacarpal
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,RightZygomaticBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Sacrum
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,ScaphoidBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,ScapulaBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,ShoulderGirdleBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,SphenoidBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,StapesBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Sternum
Anatomy,Object,,BodySubstance,ConnectiveTissue,T10VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T11VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T12VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T1VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T2VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T3VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T4VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T5VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T6VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T7VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T8VertebraBone
Anatomy,Object,,BodySubstance,ConnectiveTissue,T9VertebraBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,TalusBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,TemporalBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,ThoracicVertebraBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,ThoraxBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,ThroatBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Tibia
Anatomy,Object,,OrganicObject,BodyPart,ToeBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,TrapeziumBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,TrapezoidBone
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,TriquetralBone
Anatomy,Object,,OrganicObject,BodyPart,TrueRibBone
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,TympanicCavity
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,Ulna
Anatomy,Object,ConcreteEntity,OrganicObject,BodyPart,Urethra
Anatomy,Object,ConcreteEntity,BodySubstance,ConnectiveTissue,VertebraBone
